bootstrap_size,no_features,max_depth,no_trees,ouralgorithm_accuracy,sklearn_accuracy
5400,30,25,30,0.888,0.937333333
27000,40,20,10,0.894833333,0.945666667
5400,20,20,100,0.896,0.947
5400,20,15,100,0.8885,0.940666667
13500,30,25,20,0.8875,0.940166667
27000,30,25,20,0.900666667,0.953666667
13500,50,5,10,0.759333333,0.812833333
5400,30,5,10,0.739,0.792833333
13500,20,25,100,0.902333333,0.956166667
27000,30,5,20,0.779,0.833
13500,20,20,100,0.901,0.955166667
27000,30,20,20,0.900666667,0.955
13500,30,20,20,0.887833333,0.942833333
5400,30,10,20,0.864333333,0.919833333
13500,30,15,20,0.886166667,0.942166667
5400,20,5,100,0.794666667,0.851
13500,20,15,100,0.897166667,0.954833333
13500,20,5,30,0.773166667,0.831666667
27000,20,20,100,0.902,0.960833333
27000,20,25,100,0.903333333,0.9625
5400,20,10,100,0.8735,0.933
27000,20,10,100,0.88,0.939833333
13500,40,5,10,0.740666667,0.8015
5400,30,25,20,0.8655,0.93
27000,20,5,100,0.785833333,0.851
27000,20,15,100,0.892833333,0.958166667
5400,30,20,20,0.864833333,0.930833333
13500,20,10,50,0.8665,0.932833333
13500,20,10,40,0.8655,0.932
5400,30,15,20,0.863,0.930166667
27000,30,10,10,0.849166667,0.920833333
27000,40,5,10,0.742666667,0.815
27000,20,10,50,0.867333333,0.940666667
27000,20,20,50,0.882833333,0.956666667
27000,20,25,50,0.883166667,0.9585
27000,30,15,10,0.86,0.936333333
5400,30,10,10,0.8245,0.901
27000,20,10,40,0.861833333,0.938333333
27000,20,10,30,0.856333333,0.9335
13500,30,5,10,0.733833333,0.812333333
27000,20,15,50,0.877833333,0.956666667
5400,20,5,30,0.7545,0.8335
13500,20,20,50,0.872666667,0.952666667
13500,20,15,50,0.870833333,0.950833333
13500,20,10,30,0.850833333,0.931333333
13500,20,15,40,0.8675,0.9485
5400,20,5,40,0.756666667,0.837833333
5400,20,10,50,0.849166667,0.930333333
27000,20,20,40,0.8745,0.955666667
27000,20,25,40,0.8755,0.956666667
5400,30,15,10,0.822666667,0.904
13500,20,5,20,0.741333333,0.822666667
27000,30,25,10,0.852333333,0.933666667
27000,20,10,20,0.846166667,0.927666667
13500,20,20,40,0.868833333,0.9505
13500,20,25,40,0.869166667,0.951333333
5400,20,5,50,0.7595,0.841666667
5400,20,25,50,0.855666667,0.938166667
13500,20,25,50,0.872,0.9545
27000,20,5,50,0.7585,0.841333333
13500,30,10,10,0.8345,0.9175
27000,30,5,10,0.7235,0.806666667
5400,20,15,40,0.8495,0.932833333
5400,20,20,50,0.855166667,0.938833333
5400,20,15,50,0.853333333,0.937166667
5400,20,20,40,0.851333333,0.9355
27000,20,5,40,0.755833333,0.84
5400,20,25,40,0.850666667,0.936166667
27000,20,5,30,0.7535,0.839
27000,20,15,40,0.868,0.9535
5400,20,10,40,0.842166667,0.9285
5400,20,5,20,0.734666667,0.8215
27000,20,5,20,0.741666667,0.829333333
5400,30,20,10,0.821166667,0.91
27000,30,20,10,0.8485,0.9385
